Compania,Orden,Posicion,Entrega,TipoTrans,NumFac,Articulo,FchFac,Cliente
225,183276,10,0,FAT,170535,060017546       ,18/09/2020,871
225,183277,10,0,FAT,170549,KS290017314     ,19/09/2020,871
225,183278,10,0,FAT,170574,030016074       ,19/09/2020,871
225,183285,10,0,FAT,171064,KS320020061     ,02/10/2020,871
225,183293,20,0,FAT,170633,KS320018426     ,21/09/2020,44
225,183298,10,0,FAT,170631,KD420020822     ,21/09/2020,865
225,183299,20,0,FAT,170668,KS320019893     ,22/09/2020,115078
225,183299,30,0,FAT,170668,KS320019894     ,22/09/2020,115078
225,183300,10,0,FAT,170557,110019105       ,19/09/2020,207
225,183303,60,0,FAT,170940,KS230017042     ,29/09/2020,896
225,183303,70,0,FAT,170690,KS230017041     ,22/09/2020,896
225,183305,10,0,FAT,170529,KS400019323     ,18/09/2020,115058
225,183305,20,0,FAT,170879,KS400019323     ,28/09/2020,115058
225,183306,10,0,FAT,171005,BD420019464     ,01/10/2020,115059
225,183307,10,0,FAT,171074,BS400019637     ,03/10/2020,115059
225,183315,10,0,FAT,170726,KD480020961     ,23/09/2020,6047
225,183318,10,0,FAT,170531,KD480020968     ,18/09/2020,696
225,183319,30,0,FAT,170919,KS400020041     ,29/09/2020,115058
225,183319,40,0,FAT,170610,KS400020230     ,21/09/2020,115058
225,183328,10,0,FAT,170909,KS290020971     ,29/09/2020,115141
225,183328,20,0,FAT,170909,KS290020970     ,29/09/2020,115141
225,183328,30,0,FAT,170909,KS290020972     ,29/09/2020,115141
225,183328,40,0,FAT,170909,KS290020973     ,29/09/2020,115141
225,183330,10,0,FAT,170670,BS360018754     ,22/09/2020,1021
225,183331,10,0,FAT,170671,BS360018722     ,22/09/2020,1021
225,183334,10,0,FAT,170505,KS550020974     ,18/09/2020,115103
225,183334,20,0,FAT,170632,KS550020974     ,21/09/2020,115103
225,183336,10,0,FAT,170673,KS230018708     ,22/09/2020,1032
225,183337,10,0,FAT,170756,KS290020426     ,24/09/2020,115111
225,183337,20,0,FAT,171237,KS290020426     ,07/10/2020,115111
225,183337,30,0,FAT,171653,KS290020426     ,19/10/2020,115111
225,183337,40,0,FAT,171654,KS290020323     ,19/10/2020,115111
225,183337,50,0,FAT,171654,KS320020427     ,19/10/2020,115111
225,183338,10,0,FAT,171287,KD420016715     ,08/10/2020,576
225,183340,10,0,FAT,170734,050016273       ,23/09/2020,740
225,183340,20,0,FAT,170734,050116273       ,23/09/2020,740
225,183341,10,0,FAT,172116,050016273       ,30/10/2020,740
225,183341,20,0,FAT,172116,050116273       ,30/10/2020,740
225,183342,10,0,FAT,170667,050011838       ,22/09/2020,905
225,183343,10,0,FAT,170941,KS710016405     ,29/09/2020,51
225,183346,10,0,FAT,170761,KS290020205     ,24/09/2020,606
225,183348,10,0,FAT,170696,110015899       ,22/09/2020,662
